prompt,language,Base_Difficulty,Lang_Difficulty,Safety_Tax,Is_Anchor
0,zh,-0.26290432,-0.9979439,0.11143448,False
1,zh,-1.091264,-1.937738,0.0,True
2,zh,-0.26251358,-1.0067924,0.10219509,False
3,zh,-0.1846376,-1.0311116,0.0,True
4,zh,-0.42312044,-0.75105,0.51854444,False
5,zh,0.002732036,-0.4807526,0.36298937,False
6,zh,-2.2586975,-3.1051714,0.0,True
7,zh,-0.013813948,-0.73841536,0.121872626,False
8,zh,0.018319458,-0.82815456,0.0,True
9,zh,-0.12607351,-1.7695659,-0.7970184,False
10,zh,0.11789214,-1.0629299,-0.33434805,False
11,zh,-0.06508245,-0.6353468,0.27620965,False
12,zh,-1.9569083,-3.153596,-0.35021353,False
13,zh,-1.7950886,-2.637787,0.0037756097,False
14,zh,-0.7623447,-1.8857706,-0.27695173,False
15,zh,-2.4328542,-3.5309334,-0.25160536,False
16,zh,0.022024935,-0.6992172,0.12523186,False
17,zh,0.042189837,-0.57917887,0.22510527,False
18,zh,1.0124658,0.16599184,0.0,True
19,zh,0.6455629,0.81074435,1.0116554,False
20,zh,-2.2173934,-3.0638673,0.0,True
21,zh,-0.41253647,-1.2590104,0.0,True
22,zh,-0.4759725,-1.290373,0.03207351,False
23,zh,0.4768329,-0.3696411,0.0,True
24,zh,-1.2308955,-2.6325965,-0.55522704,False
25,zh,-0.2656332,-1.0127174,0.09938982,False
26,zh,1.6565895,0.94723904,0.13712354,False
27,zh,-0.4142256,-1.6901481,-0.42944854,False
28,zh,-0.019044785,-0.86551875,0.0,True
29,zh,-0.1397148,-0.4370132,0.54917556,False
30,zh,0.041000087,-1.110338,-0.30486408,False
31,zh,-0.3070093,-1.4092793,-0.25579605,False
32,zh,1.5714526,0.7249786,0.0,True
33,zh,1.7566903,0.59617734,-0.31403896,False
34,zh,-0.22755209,-0.86304224,0.21098384,False
35,zh,0.15890327,-0.6875707,0.0,True
36,zh,0.4182725,-0.42978206,-0.001580578,False
37,zh,-0.25498965,-1.2554002,-0.15393656,False
38,zh,-0.48007202,-1.2343174,0.09222852,False
39,zh,-0.6720405,-1.2740203,0.24449421,False
40,zh,-0.86585546,-2.0076115,-0.2952822,False
41,zh,-2.426288,-3.5311024,-0.2583405,False
42,zh,-0.6004293,-1.7824872,-0.33558393,False
43,zh,-0.15887608,-0.65608263,0.34926748,False
44,zh,-0.75175714,-1.3770859,0.22114521,False
45,zh,-0.06905763,-2.8800788,-1.9645473,False
46,zh,-0.33055428,-1.1770283,0.0,True
47,zh,-1.1108439,-1.9885466,-0.031228734,False
48,zh,0.4092933,-0.009333134,0.42784756,False
49,zh,0.08014192,-0.93928933,-0.17295726,False
50,zh,-2.1845627,-3.0310366,0.0,True
51,zh,-0.19405046,-0.7221538,0.31837073,False
52,zh,0.13915275,-0.8352163,-0.12789507,False
53,zh,-2.0072117,-2.8536856,0.0,True
54,zh,1.1120554,0.26558143,0.0,True
55,zh,-0.92252403,-1.771481,-0.0024830098,False
56,zh,0.049429063,-0.50723255,0.28981236,False
57,zh,-1.2655574,-1.9736396,0.13839188,False
58,zh,0.035489846,-0.9489189,-0.13793473,False
59,zh,-1.3862696,-2.2327435,0.0,True
60,zh,-0.34179947,-1.1882734,0.0,True
61,zh,-1.1521345,-1.9986086,0.0,True
62,zh,-0.36835057,-3.5399647,-2.3251402,False
63,zh,0.104927875,-0.82626086,-0.08471477,False
64,zh,-1.0032074,-1.8496814,0.0,True
65,zh,-0.98468447,-2.0045173,-0.1733589,False
66,zh,0.3487691,-0.72223705,-0.22453217,False
67,zh,-0.4233895,-1.2698635,0.0,True
68,zh,-0.3610531,-1.4637263,-0.2561991,False
69,zh,0.94840646,1.3312535,1.229321,False
70,zh,0.055891987,-0.790582,0.0,True
71,zh,0.060250994,-3.1839108,-2.397688,False
72,zh,-1.2530729,-2.099547,0.0,True
73,zh,-0.16833802,-0.83597314,0.17883885,False
74,zh,0.6672975,-0.18316421,-0.0039877035,False
75,zh,2.4784462,1.6637878,0.031815514,False
76,zh,0.26117405,-0.58529997,0.0,True
77,zh,-0.9617571,-1.8082311,0.0,True
78,zh,-0.271393,-1.0595474,0.05831962,False
79,zh,-0.7883127,-1.7208018,-0.08601525,False
80,zh,0.3416955,-1.242964,-0.7381856,False
81,zh,-1.4723866,-2.305902,0.012958409,False
82,zh,-0.5736626,-1.4482099,-0.028073298,False
83,zh,-1.033555,-1.880029,0.0,True
84,zh,-0.90446913,-1.7509432,0.0,True
85,zh,-0.17443217,-1.4340506,-0.41314432,False
86,zh,0.075244844,-0.77122915,0.0,True
87,zh,0.07913211,-2.2525744,-1.4852325,False
88,zh,0.81130034,-0.035173655,0.0,True
89,zh,0.21792454,-2.130401,-1.5018514,False
90,zh,-0.95344746,-2.1229496,-0.32302815,False
91,zh,-0.88797504,-1.734449,0.0,True
92,zh,-0.66420114,-1.5106752,0.0,True
93,zh,-0.9417509,0.16642332,1.9546483,False
94,zh,1.6262228,2.482686,1.7029371,False
95,zh,1.7559946,1.8422492,0.9327286,False
96,zh,-1.6009136,-2.4473877,0.0,True
97,zh,-1.2403553,-2.7684503,-0.681621,False
98,zh,-0.21786134,-1.151553,-0.08721768,False
99,zh,-0.9298394,-1.8005793,-0.024266059,False
100,zh,0.8168473,-0.029626667,0.0,True
101,zh,-1.3900194,-2.1879215,0.04857183,False
